id,NAME,Quick Sort,TYPE,AFFINITY,MOVE,AP,STR,ARM,WILL,DEX,HEART,SK/PN,BIT,ABILITIES,ACTIONS,CARD BACK,FLAVOR,PRODUCT,REALM,STATUS,
38,Static,Pet,CYPHER PET,Ruby,6,1,2W,2W,"Magic 4
2B",2W,2,2,,Master gains Bane (2),"(Red 1) Psychic Snare: Magic 4, this offensive action deals one additional wound to the target for each status effect token on it.",,"Leopold Magnus programmed his cypher in order to inflict maximum suffering. The Super Dungeon version of Static delights in attacking monsters that are burdened with status effects, often cleaning up after Leopold, or distracting the other Heroes while Leopold gets away with the loot.",Leopold Magnus,Castle Town,Complete,
39,Sun Empire Wandering Samurai,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R",3B,2B,3B,5,1,,Feint,"(Red 2) Into the Fray: Melee, Lance 6, Charge

(Blue 1) Behind Me, Peasant: Augment, Defender

(Green Potion) Serpent's Grace: Augment, Counterstrike",,"Ever watchful for weakness, the Sun Empire’s agents can turn up anywhere, and discovering them and sending them politely on their way has become a game among many clans. Of late, though, many skilled warriors of the Sun Court have turned up, and offered their services to interested parties. Such is the cut-throat nature of Kagejima’s politics—especially the prestige attached to the Moonlight Tournament—that they often find those willing to employ them.",Sun Empire Wandering Samurai,Kagejima,Complete,
40,Tahariel,Hero,MALEAACH HERO,Ruby,6,3,2B,2R,"Magic 9
1B 1G",3B,5,2,,"Fly, Pet: Cupid","(Red 2) Stare Into The Void: Magic, Lance 4

(Blue 1) Entropy Rift: Augment, Aura 3, Improved Critical

(Green Potion) Voidroot: Augment. When this model suffers a wound, roll 3B. If any hearts are rolled, the wound is ignored.

(Blue Potion) Memory Corruption: Augment. This model may reroll one die during every roll it makes.",,"Tahariel first played the Last Galaxy's most popular video game, Super Dungeon, in order to corrupt it from the inside. She programmed her character to blight those around her, increasing the severity of wounds they suffered. But soon she found that even a maleaach void witch, harbinger of the Calamity, could relax on occasion and enjoy some pixelated fun.",Tahariel,Castle Town,Complete,
41,Tamamo No Mae Hero,Hero,KITSUNE HERO,Ruby,6,3,2B,3B,"Magic 4
2R",3B,5,1,,Surefoot,"(Red 2) Flush Out The Prey: Magic 4, Burst 1

(Blue 1) Allure: Dangerous, Range 6, WILL Vs. WILL, Compel 3

(Blue Potion) Foxglove: Augment, Territorial",,"There has always been a Tamamo no Mae. For as long as people have walked the mist-haunted forests of northern Kagejima, Tamamo no Mae has watched them. Few, they freely admit, can resist her enticing call. None, they darkly concede, escape her traps.",Clan Kitsune,Kagejima,Complete,
42,Tanchyo Chunin,mini-boss,TANCHYO MINI-BOSS,Emerald,7,3,3B,2W,3B,"Missile 6
2B 2R",7,4,SUPER,"Retribution, Vengeful Storm","(Red 1) The Arrow Senses The Way: Missile 6, Hookshot

(Red 1) Reposition: Missile 6, Retreat

(Blue 2) Storm of Arrows: Augment, this model makes three basic missile attacks without spending action points and then suffers one wound.",,"The Tanchyo are known throughout Kagejima for their archery skills, and the Chunin are those who have proven themselves above and beyond even their fellow Tanchyo. Each village only has a single Chunin. Sometimes this individual is a hero of a great battle. Sometimes they have proven themselves in an archery contest. But all Tanchyo Chunin are deadly opponents who can single-handedly rain down a storm of arrows.",Clan Tanchyo,Kagejima,Complete,
43,Tanchyo Kaiken,monster,TANCHYO MINION,citrine,7,2,"Melee 1
2R",0W,2B,2B,2,2,8-Bit,Retribution,"(Red 2) A Silent Knife: Melee 1, Massive Damage. If the target has no other friendly models within two squares, gain +1G STR.",,"For the Tanchyo, close-quarters fighting is rare. They live their lives among tree branches and rain arrows down on any who threaten their homes. But there are times that a blade is necessary. In such times, the Tanchyo call upon their Kaiken. Where other clans have swordsmen as the bulk of their forces, Tanchyo Kaiken are rare and highly trained. They are only called upon in the most dire of circumstances.",Clan Tanchyo,Kagejima,Complete,
44,Tanchyo Kunoichi,monster,TANCHYO ELITE,Citrine/Emerald,7,2,"Melee 2
3B",1W,3B,3B,2,2,8-Bit,Retribution,"(Red 2) The Dancing Blade: Melee, Wave 2

(Blue 1) Requiem: Augment, Aura 3. Models in the area gain +1R to offensive actions taken due to Retribution.",,"Clan Tnachyo form incredibly close-knit family ties. The loss of a member is an acute pain, and vengeance is always swift and decisive. The Kunoichi are those who have lost a family member in combat and vowed to seek vengeance. They have dedicated themselves to the art of war, so that no other Tanchyo family has to know their pain. All-out war on Kagejima has been avoided thanks to the Moon Court, but small skirmishes are common, and clan Tanchyo is very suspicious of outsiders, often leading them into conflict with strangers who stray too far into their lands.",Clan Tanchyo,Kagejima,Complete,
45,Tanchyo Madoushi,spawning point,TANCHYO SPAWNING POINT,Ruby,2,1,2B,1W,"Magic 4
3B",2B,3,3,START/16-Bit,"Active Spawn, Retribution","(Blue 1) Raven Feather: Augment, Aura 6, Fly",Spawning Pool: *INSERT SPAWNING POOL*,"The Madoushi of clan Tanchyo have received the blessings of the Tengu, often even taking on the physical appearance of the Tengu themselves. They are masters of the wind, and use their magic to allow their fellow Tanchyo to soar through the air, getting them into the fight at impossible speeds as they race through the treetops.",Clan Tanchyo,Kagejima,Complete,
46,Tanchyo Oni,monster,TANCHYO ELITE,Citrine,7,3,"Melee 2
1W 2B",1B 1R,3B,3B,3,3,16-Bit,"Retribution, Fly","(Red 1) Cyclone: Magic, Lance 6

(Blue 1) To The Sky: Target an adjacent model. Place the target adjacent to this model at the end of this model's activation.",,"Tanchyo Oni are the physical incarnations of the kami that stalk the dense forests that the Tanchyo call home. They take the form of massive birds of prey, and they hold command over air, creating furious cyclones that can sweep their opponents from the trees they call home. Tanchyo Oni are particularly fearsome, and they are only called upon by the clan in the most dire and desperate of circumstances.",Clan Tanchyo,Kagejima,Complete,
47,Tengu,mini-boss,TENGU MINI-BOSS,Citrine/Ruby,6,3,"Melee 1
2B",1B 1G,"Magic 6
1W 2R",3B,7,4,SUPER,"Fly, Hubris","(Red 2) The Curse of Gold: Magic 6, +1R WILL, if the target has two equipped items it suffers Bane, if it has more than two equipped items it suffers Bane and Fire.

(Red 2) The Curse of Coin: Melee 1, the target suffers one additional wound for each Princess Coin on its card.

(Blue 1) The Curse of Drink: Wave 8, WILL Vs. DEX, Heroes must discard all potion tokens.",,"For centuries, the Tengu have bartered or traded their magical and martial skill to the competing clans of Kagejima. Sometimes they do so for gold, for more offerings at their shrines, or for shiny baubles. Other times the requests are more unusual, such as whispers of love from a beautiful woman, the first wail of a newborn, or thirty stems of saffron.",Tengu,Kagejima,Complete,
48,Uzumaki,Hero,KITSUNE HERO,Emerald,6,3,3B,2R,2R,"Missile 3
2B 1R",5,1,,"Quick Strike, Surefoot","(Red 1) Storm of Daggers: Missile, Sweep 1

(Blue 1) Charisma: Dangerous, Wave 2, WILL Vs. WILL, Compel 2

(Green Potion) Ancestor's Blessing: All Heroes roll their WILL. The Hero that rolls the highest removes all wound tokens. Reroll ties.",,"While most Kitsune distrust outsiders and prefer to stay in their loamy, fern-shrouded forests, Uzumaki is often the first to greet travelers and offer them warding runes and medicines in exchange for stories of the world beyond.",Uzumaki,Kagejima,Complete,
49,Zenyo Ryu,Hero,TANCHYO HERO,Emerald,7,3,2B,2R,3B,"Missile 5
2R",5,1,,Wind of Blades,"(Red 2) A Feather For Each Eye: Missile 5, Massive Damage

(Blue 2) Storm of Arrows: Augment, this model makes three basic missile attacks and then suffers one wound.

(Blue Potion) Spitevine: Augment, gain +1B to offense rolls for each Princess Coin that was spent this game.",,"Among the Tanchyo clan, archery is the highest art of war. Few practitioners of this art are as renowned as the woman called Zenyo Ryu, or more simply, The Dragon. She has learned to build customized ammunition, employing crescent arrowheads for cutting rope, whistling noise makers to signal her friends or soldiers, and long, narrow points she calls fangs for piercing armor.",Clan Tanchyo,Kagejima,Complete,
50,Howl & Yip,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
3B",2R,2B,3B,5,1,,Yip's Wrath,"(Red 2) The Blade Knows The Way: Melee, Wave 1

(Red 2) My Life For Yours: Melee 1, +1G STR,  Ravage

(Green Potion) A Bottle For Baby: Augment. Heal 2, Squirrely","Heal X: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7

Ravage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.2f9jfmmsqzzm

Squirrely: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.s5o2zwluhj4e

Yip's Wrath: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.x025u376ml79

Knockdown","A highly skilled warrior of strange disposition, Howl, and the small child he calls Yip wander Kagejima living the rough life of a ronin. They say, in a past life, he fell in love with a bewitching kunoichi, and she with him. He did not discover her betrothal to her clan’s lord until after their son was born. To preserve honor, he gave up his name and swore revenge on the lord.",Howl & Yip,Kagejima,Complete,
51,Kappa,mini-boss,ONI MINI-BOSS,Sapphire,5,3,"Melee 1
1B 2R",3R,2B 1R,2B,6,4,SUPER,"Backlash, Sturdy","(Red 2) Shell Spin: Melee, Wave 2

(Red 1) The Kappa's Curse: Magic 6, Immobile

(Red 1) Fickle Kappa: Dangerous. Throw 6
","Backlash: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.pqdr9uxbg26

Immobile: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.yg34p2ijeteg

Sturdy: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.psumvhstcgj7

Throw: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.vd162a31vqw0","The Kappa are wild, dangerous kami who inhabit Kagejima’s lakes, rivers, and swamps. Wily and withdrawn by nature, they can be found overturning boats and drowning unwary children. Despite this, several clans have successfully coaxed these exceptionally strong and stealthy creatures into performing services…often with the sacrifice of food, livestock, or even the village elder’s firstborn child.",Kappa,Kagejima,Complete,
52,Night Hunter,Hero,HUMAN HERO,Emerald/Ruby,6,3,2B,3B,"Magic 6
3B","Missile 6
2R",5,2,,,"(Red 2) Silver Bullet: Missile 6, +1B DEX, Massive Damage, Improved Critical

(Red 2) Cleansing Light: Magic, Lance 4

(blue potion) The Goddess's Forgiveness: Augment. Remedy, Blessed Strike

(green potion) The Goddess's Justice: Augment. This model immediately makes a basic offensive action.","Blessed Strike: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.acyoasvz6tow

Improved Critical: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.48o2ezf67jnx

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Remedy: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.tj4pfn7ru74j","Crystalia is home to all manner of undead, witches, demons, and things that go bump in the night. Some of these things, such as Sanctioned Witches and Gloomborn Champions, have seen the light of the Goddess. In such cases, they must be watched carefully to make sure that they do not stray from the light. If they do, a Night Hunter will be sent to find them.",Night Hunter,Glauerdoom,Complete,
53,Onibaba,Dungeon Boss,ONI DUNGEON BOSS,Citrine/Ruby,6,4,"Melee 1
5B 1R",3R,"Magic 6
4R",3B,9,4,SUPER,Blood Drinker,"(Blue 1) Feed, My Children: All other monsters may take a basic offensive action. This action may only be taken once per turn.

(Red 2) Devouring Horror: Melee 1, Brutal Strike, on a critical success discard up to one equipment from the target and equip it to this model.

(Red 2) Crippling Miasma: Magic, Wave 2, Bane","Bane: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.9omp97gkodaq

Blood Drinker: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.8mbv79a3tnjf

Brutal Strike: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.xcj34v6bwv8z","As a mortal, Onibaba would lure stragglers from battles into her traps, finish them off, and sell their possessions. One night, however, she pulled a finely crafted mask from a dark and terrible samurai, and slipped it on over her face. In that instant, the dark power from within the mask touched the festering rot in her soul and consumed her. Soon the mortal hag was gone, replaced by an ageless, devouring horror that has stalked Kagejima’s places of slaughter ever since.",Onibaba,Kagejima,Complete,
54,Rainbow Dragoon,Hero,CELESTIAN HERO,Citrine/Ruby,6,3,"Melee 1
2B",2B,"Magic 3
1R",2B,5,1,,"Fly, Prismatic Armory","(Red 2) Over The Rainbow: Melee, +1R STR, Lance 4, Charge

(Red 2) Prismatic Spray: Magic, Wave 1, Hex

(blue potion) Borrowed Strength: Augment. Select a piece of loot equipped to another Hero within four squares and LoS. This Hero gains all benefits as if it had the selected loot equipped.","Charge: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.wo11831matar

Fly: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.h0plbx8biyjm

Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Prismatic Armory: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.25avc53hke0x","The Rainbow Falls is one of the most beautiful and idyllic places in all of Celestia. But this beautiful scenery is also the training ground of one of Celestia's most deadly forces: the Rainbow Dragoons. These warriors are trained in every manner of combat and weapon imaginable, and they have access to a vast armory, making them fearsome opponents for the forces of darkness.",Rainbow Dragoon,Celestia,Complete,
55,Shojo,Hero,IKA HERO,Ruby,6,3,3B,2R,"Magic 3
2R",2B,5,3,,Keep The Sake Flowing,"(Red 2) Sake Tsunami: Magic 3, +2R WILL

(Red Potion) Dreadful Draught: Magic 3, Poison

(Blue Potion) Another Round: Augment. This model may reroll one die after any roll.

(Blue Potion) Burning Brew: Augment. Fire. +1B to offense rolls.

(Green Potion) Night Cap: Augment. Heal 2","Fire: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.eqc1r74zs1me

Heal: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7

Keep The Sake Flowing: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.q7eodolelzp4

Poison: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.7sazydrlgz62","The captain of the magnificent trading vessel, Tako-Tako, is as famous for her wild ways as for her wondrous wares. Shojo loves a party, and she brings one (or more) with her wherever she makes berth. A fearless navigator, she is equally masterful with the sword, which she hastily employs with typhoon fury—so long as the sake lasts, that is.",Shojo,Kagejima,Complete,
56,Son Goku,Hero,YAMAZARU HERO,Citrine,6,3,"Melee 3
3B",3B,4B,3B,5,1,,Born Lucky,"(Red 2) Mighty Tetsubo Smash: Melee 3, +2B STR, Massive Damage

(Blue 1) Point And Laugh: Range 6, WILL Vs. WILL, Pull 6, Immobile

(Blue Potion) Monkey's Lucky Drink: Augment. Look at the top two cards of the treasure deck (discard and re-draw any non-treasure). Choose one of the cards and gain all of its effects as if it was equipped, then discard the cards.","Born Lucky: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.k4pp56gb4ns

Immobile: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.yg34p2ijeteg

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5","Son Goku was born with the aspect of the monkey. His high spirits and care-free attitude are matched only by his skill, agility, and wanderlust. He showed his nature quite young, when the village elders sent him to train with the clan's warriors at the age of seven. Son Goku yearns to travel abroad, Kagejima is simply too small to contain him. ",Clan Yamazaru,Kagejima,Complete,
57,Yagyu Jubei,Hero,HUMAN HERO,Citrine,7,3,"Melee 1
2R",2R,3B,2B,5,1,,"Parry, Selfless","(Red 2) Leaping Strike: Melee 1, +1G STR, Pounce

(Blue 2) Storm of Swords: This model makes a basic melee attack against each enemy in range.

(Blue Potion) Swordsman's Sake: Augment. +1B STR. Feint.","Feint: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ge8mlykfwtw1

Parry: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.kwsjd9q0r3jd

Pounce: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.4vqdu09hhhlg

Selfless: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.kw14hl89wzwv","Yagyu Jubei had heard tales of the Moonlight Tournament for years before finally daring the passage to Kagejima to experience the tournament for himself. He has informed the Sun Court that he will not be returning soon; there is simply too much to see, and Jubei has sworn to discover all he can.",Yagyu Jubei,Kagejima,Complete,
58,Yamazaru Chunin,mini-boss,YAMAZARU MINI-BOSS,Citrine,7,3,"Melee 3
2R 2B",3B,1B 2R,2G,7,4,SUPER,Shiny Bauble,"(Red 2) Spinning Tetsubo: Missile, Wave 3

(Red 1) Monkey's Paw: Magic 3, Bane

(Blue 1) Endless Curiosity: Discard the the top card of the treasure deck. If it is not a treasure, discard until one is reached. Until the end of the next Hero turn, all monsters with Shiny Bauble gain the benefits of the treasure as if they had it equipped.","Bane: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.9omp97gkodaq

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","The Yamazaru are naturally curious and playful. They love new trinquets and fun items, and this even spills over into how they arm themselves for battle. Often, the Yamazaru Chunin is simply the one with the newest weapon, biggest club, or the most new trinquets to share with his or her fellow Yamazaru.",Clan Yamazaru,Kagejima,Complete,
59,Yamazaru Kaiken,monster,YAMAZARU MINION,Citrine,7,1,"Melee 1
3B",1W,2B,3B,1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Sees: Magic, Wave 1, Ice","Ice: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ko2w3xj1jql9

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","While the Yamazaru value stoicism and hard-edged practicality as survival traits, they see the harsh cold of their mountain homes as good reason to be warm and open in their lives. The weather often limits travel, forcing clan members to live closely with others. They gleefully play pranks, engaging in ""wars of smiles"" with neighboring villages. This gives the Yamazaru kaiken who fight side by side a warm bond rarely seen in the other clans.",Clan Yamazaru,Kagejima,Complete,
60,Yamazaru Kunoichi,monster,YAMAZARU MINION,Citrine/Emerald,7,1,"Melee 1
3B",0W,3B,"Missile 4
3B",1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Disapproves: Magic 6, Hex

(Red 1) The Mountain Sees: Magic, Wave 1, Ice","Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Ice: Ice: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ko2w3xj1jql9

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","Yamazaru warriors are famous for unmatched feets of natural stamina. They engage in an activity called ""catching snow"" where they stand completely still for days. They swim wide mountain lakes without coming up for air. And many engage in the ritual called ""The Mountain Sees"" where they test their spiritual endurance in the treacherous mountain peaks. The Yamazaru kunoichi have mastered all of these feets.",Clan Yamazaru,Kagejima,Complete,
61,Yamazaru Madoushi,spawning point,YAMAZARU SPAWNING POINT,Ruby,2,1,2B,1W,"Magic 6
3B",2B,3,3,START/16-Bit,"Active Spawn, Shiny Bauble","(Blue 1) Mountain Flute: Range 6, WILL Vs. WILL, Push 6, Slow","Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a

Slow: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.smqjyeqc5qk8

Active Spawn: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.3ebd1h8ljyrv

Spawning Pool:
1 x Yamazaru Madoushi (spawning point)
2 x Yamazaru Kaiken
1 x Yamazaru Yajiri
1 x Yamazaru Oni
1 x Yamazaru Kunoichi","The Yamazaru madoushi are the spiritual leaders of the Yamazaru, often calling them to arms with the soft sounds of a mountain flute.",Clan Yamazaru,Kagejima,Complete,
62,Yamazaru Oni,monster,YAMAZARU ELITE,Citrine,7,4,"Melee 3
2B 1R",2B 1R,1B,3B,4,4,16-Bit,"Improved Critical, Shiny Bauble","(Red 2) Yamazura's Tail: Missile, Wave 3, Knockdown","Improved Critical: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.48o2ezf67jnx

Knockdown: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.7hpy790b5a2

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","The Yamazaru have rich spiritual lives which has granted them an intimate connection with their mountain home and the creatures that dwell there. The mighty monkey oni are fierce companions of the Yamazaru, defending them in times of danger and playfully playing tricks on them during times of peace.",Clan Yamazaru,Kagejima,Complete,
63,Yamazaru Yajiri,monster,YAMAZARU MINION,Emerald,7,1,3B,1W,2B,"Missile 6
3B",1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Disapproves: Magic 6, Hex","Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","Yamazaru yajiri are expert marxmen, often hunting in blinding snow and among rocky mountain peaks. They brave the harsh, freezing conditions with a smile, bringing back game to be shared by their household. During times of strife they are called to action, where their skill with a bow is highly valued.",Clan Yamazaru,Kagejima,Complete,
64,Nu-Koa Seraph,Hero,NU-KOA HERO,Citrine/Ruby,6,3,"Melee1
3B","Def
2R","Magic 6
2R",2B,5,1,,"Fly, Tough","(red 2) Drain Life: Magic 6, Massive Damage. Any friendly Hero may Heal 1 for each wound inflicted.

(blue 1) Arcane Manipulation: WILL Vs. WILL, Wave 2, Compel 2

(blue 1) Channel: Augment, Aura 3, Fortify

(blue potion) Mind Sap: Augment. This Hero's offensive actions gain +1B for each enemy adjacent to them, to a maximum of +3B.","Fly: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.h0plbx8biyjm

Tough: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.cwvqkfykuidx

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Fortify:","Seraphs derive their arcane power from a deep, almost instinctual, understanding of the self. This understanding extends even to others, allowing the Seraph to tap into the arcane potential of those around them, often sapping the energy of their opponents to bolster their comrades.","NJD202033
Nu-Koa Seraph",Wandering Monk,Complete,
65,Frozen Queen,Dungeon Boss,Human Dungeon Boss,Sapphire,6,4,2B,1W4B,"Magic 6
1W6B",3B,8,4,SUPER,"Build a Snowman, Ice, Immune: Ice, Surefoot","(Red 2) Stay Away: Magic, Wave 3, Push 3

(Red 2) Frozen Heart: Magic 6, +2W WILL, Immobile

(Blue 1) Personal Flurry: Augment, Range 6, Stealth Aura



","Build a Snowman:

Ice:

Immobile:

Immune: Ice

Stealth Aura:",,,,Complete,
66,Onryo,Dungeon Boss,Undead Ghost Dungeon Boss,Amethyst,6,4,2B,3R,"Magic 6
2R 2G",2B 2R,8,4,SUPER,"Ghost, Ghostmancer, Immune: Status Effects","(Blue 1) Cursed Vision: Wave 3, WILL vs WILL, Immobile, Bane

(Blue 1) Unfortunate Accident: Range 8, WILL vs WILL, Target model makes a single basic attack of Onryo's choice against itself.

(Red 2) Final Day: Magic 1, +1G WILL, Massive Damage. This attack ignores Princess Coins.  

","Bane:

Ghost:

Ghostmancer:

Immobile:

Immune: Status Effects

Massive Damage:
","Into the darkness, under the trees. Into the water, follow me please. ","NJD203013
Onryo",Kagejima,Complete,"1.Onryo - Explore
2.Onryo - Boss Fight
3.Chochin-Obake - Explore
4.Onryo - Arcade
5.Chochin-Obake - Arcade
6.The Tape - Relic
7.Burial Robes - Treasure
8.Ofuda - Treasure
9.Cursed Remains - Treasure
10.Lock of Hair - Treasure
11.Torment Knife - Treasure
12.Treasured Toy - Treasure


"
67,Chōchin-Obake,Creep,Undead Ghost Creep,Amethyst,6,2,1B,3B,"Magic 1
1G",3B,1,1,8-Bit,"Ghost, Illumination,  Immune: Status Effects","(Red 2) Siphon Life: Magic 1, If this attack inflicts wounds, a friendly dungeon boss or mini-boss may heal an equal number of wounds. This Chōchin-Obake is then removed from play.","Ghost:

Illumination:

Immune: Status Effects",When spirits seek to break the veil between life and death it is the Chōchin-Obake who light their way. The more powerful of these ghostly apparitions pull the Chōchin-Obake through with them so that the ghostly minions can illuminate the souls of the living.,"NJD203013
Onryo",Kagejima,Complete,
